Magn¨²s M. Halld¨®rsson,16,Jaikumar Radhakrishnan,2,Pradipta Mitra,3
Yu Xu,14,Mary F. Fern¨¢ndez,3,Alin Deutsch,2,Divesh Srivastava,3,Sihem Amer-Yahia,3,Pekka Kostamaa,5,Yannis Papakonstantinou,4
Iosif Lazaridis,6,Sharad Mehrotra,6
Mingsheng Hong,5,Christoph Koch,2,Mirek Riedewald,4,Johannes Gehrke,4,Walker M. White,3,Alan J. Demers,4
John A. Stankovic,7,Krithi Ramamritham,4,Donald F. Towsley,4,Rajendran M. Sivasankaran,2
Jeff G. Schneider,22,Pinar Donmez,2,Xi Chen,2,Tzu-Kuo Huang,3,Justin A. Boyan,2,Barnab¨¢s P¨®czos,2,Jaime G. Carbonell,3,Jeremy Kubica,2,Andrew W. Moore,8,Kaustav Das,3,Yi Zhang 0010,2
Sholom M. Weiss,10,Nitin Indurkhya,5
Sunil Prabhakar,30,Rahul Shah,5,Rohit Jain,2,Reynold Cheng,9,Jennifer Neville,2,Xiang Zhang,2,Dmitri V. Kalashnikov,2,Ann Christine Catlin,2,Susanne E. Hambrusch,5,Moustafa A. Hammad,2,Chris Mayfield,4,Ben Kao,2,Jeffrey Scott Vitter,2,Ahmed K. Elmagarmid,3,Radu Sion,4,Yuni Xia,4,Yi-Cheng Tu,7,Walid G. Aref,3,Sarvjeet Singh,6,Mikhail J. Atallah,4
Min Zhang,11,Shaoping Ma,11,Liyun Ru,7,Yiqun Liu,9
Mario Schkolnick,8,Shamkant B. Navathe,2
Ashish Verma,4,Shantanu Godbole,2,Indrajit Bhattacharya,2
Omri Palmon,3,Serge A. Plotkin,2,Anil Kamath,3
Ilya Volkovich,3,Amir Shpilka,2
Nitin Indurkhya,5,Sholom M. Weiss,5
Himanshu Gupta,12,Ullas Nambiar,2,Janet L. Wiener,2,Hector Garcia-Molina,2,Wilburt Labio,2,Yue Zhuge,2,Prasan Roy,2,Mukesh K. Mohania,5
Juliana Freire,33,Hoa Nguyen,5,J¨¦r?me Sim¨¦on,4,Cl¨¢udio T. Silva,5,Philip Bohannon,3,Philippe Bonnet,3,Jayant R. Haritsa,4,Thanh Hoang Nguyen,3,Daniel F. Lieuwen,2,Dennis Shasha,4,Prasan Roy,4,Luciano Barbosa,4,Maya Ramanath,5
Stefano Rizzi,4,Matteo Golfarelli,3
Satoshi Nakamura,4,Katsumi Tanaka,3
Roberto De Virgilio,4,Riccardo Torlone,2
W. Bruce Croft,9,Eric W. Brown 0001,2,J. Eliot B. Moss,2,James P. Callan,2,David W. Stemple,2
Alejandro P. Buchmann,20,Umeshwar Dayal,2,C. Mohan,2,Krithi Ramamritham,2,Meichun Hsu,2,Mariano Cilia,4,Dennis R. McCarthy,2
Jinfei Liu,3,Li Xiong,2,Joshua Zhexue Huang,2,Jun Luo,3
Lyman Do,5,Pamela Drew,4,Prabhu Ram,3
Scott Klasky,3,Ye Jin,2,Nagiza F. Samatova,2
Ali Dasdan,11,Hector Garcia-Molina,2,Panagiotis Papadimitriou 0002,2,Santanu Kolay,4
Arto Klami,6,Seppo Virtanen,3,Samuel Kaski,5
Rajat Raina,4,Andrew Y. Ng,4
Xiaowei Xu,10,J?rg Sander,4,Martin Ester,7,Hans-Peter Kriegel,6
Boyu Hao,3,Carson Kai-Sang Leung,3
Marie-Fran?oise Roy,3,Richard Pollack,3,Saugata Basu,3
Robert F. Murphy,5,William W. Cohen,2
Haibing Lu,6,Vijayalakshmi Atluri,4,Jaideep Vaidya,5
Yuchang Lu,6,Hongwei Zhang,2,Hua-Jun Zeng,2,Jian-Tao Sun,2,Zheng Chen,2,Fengzhan Tian,2
Matthew V. Mahoney,3,Philip K. Chan,3
Yingjiu Li,5,Songtao Guo,2,Xintao Wu,4
Chidanand Apt¨¦,7,Edwin P. D. Pednault,2,Naoki Abe,2
